tratamento_1,tratamento_2,n,taxa_acerto_1,taxa_acerto_2,diferenca_taxa_1_menos_2,ambos_erraram_n00,t1_errou_t2_acertou_n01,t1_acertou_t2_errou_n10,ambos_acertaram_n11,statistic,p_value,p_value_holm,rejeita_H0_holm,alpha,melhor_tratamento
claude_few_shot,deepseek_few_shot,8710,0.8114810562571757,0.8876004592422503,-0.07611940298507458,702,940,277,6791,360.10188989317993,2.675455534812206e-80,5.618456623105633e-79,True,0.05,deepseek_few_shot
claude_few_shot,sonarqube,8710,0.8114810562571757,0.8973593570608496,-0.08587830080367387,348,1294,546,6522,303.2657608695652,6.4015432182947376e-68,1.2803086436589475e-66,True,0.05,sonarqube
chatgpt_zero_shot,claude_few_shot,8710,0.879678530424799,0.8114810562571757,0.06819747416762334,746,302,896,6766,293.5300500834725,8.460696230908265e-66,1.6075322838725703e-64,True,0.05,chatgpt_zero_shot
claude_few_shot,deepseek_zero_shot,8710,0.8114810562571757,0.8788748564867968,-0.06739380022962105,675,967,380,6688,254.93392724573127,2.1819266725660422e-57,3.927468010618876e-56,True,0.05,deepseek_zero_shot
chatgpt_few_shot,deepseek_few_shot,8710,0.8331802525832377,0.8876004592422503,-0.05442020665901259,712,741,267,6990,221.953373015873,3.3908727235249176e-50,5.76448362999236e-49,True,0.05,deepseek_few_shot
chatgpt_few_shot,sonarqube,8710,0.8331802525832377,0.8973593570608496,-0.06417910447761188,351,1102,543,6714,189.2790273556231,4.56778159601998e-43,7.308450553631968e-42,True,0.05,sonarqube
claude_zero_shot,sonarqube,8710,0.8329506314580941,0.8973593570608496,-0.06440872560275546,341,1114,553,6702,188.12237552489503,8.169328451200517e-43,1.2253992676800775e-41,True,0.05,sonarqube
chatgpt_few_shot,chatgpt_zero_shot,8710,0.8331802525832377,0.879678530424799,-0.04649827784156135,812,641,236,7021,186.1071835803877,2.2495416169748967e-42,3.1493582637648555e-41,True,0.05,chatgpt_zero_shot
claude_zero_shot,deepseek_few_shot,8710,0.8329506314580941,0.8876004592422503,-0.05464982778415617,602,853,377,6878,183.4349593495935,8.619211858319222e-42,1.1204975415814988e-40,True,0.05,deepseek_few_shot
chatgpt_zero_shot,claude_zero_shot,8710,0.879678530424799,0.8329506314580941,0.04672789896670493,709,339,746,6916,151.9225806451613,6.587893909479058e-35,7.90547269137487e-34,True,0.05,chatgpt_zero_shot
chatgpt_few_shot,deepseek_zero_shot,8710,0.8331802525832377,0.8788748564867968,-0.04569460390355906,661,792,394,6863,132.8912310286678,9.550343722442716e-31,1.0505378094686988e-29,True,0.05,deepseek_zero_shot
claude_zero_shot,deepseek_zero_shot,8710,0.8329506314580941,0.8788748564867968,-0.04592422502870264,634,821,421,6834,128.18115942028984,1.0245151700454264e-29,1.0245151700454265e-28,True,0.05,deepseek_zero_shot
claude_few_shot,claude_zero_shot,8710,0.8114810562571757,0.8329506314580941,-0.02146957520091841,1146,496,309,6759,42.97639751552795,5.540426084272513e-11,4.986383475845262e-10,True,0.05,claude_zero_shot
chatgpt_few_shot,claude_few_shot,8710,0.8331802525832377,0.8114810562571757,0.021699196326061987,1099,354,543,6714,39.40245261984393,3.448635412878197e-10,2.7589083303025576e-09,True,0.05,chatgpt_few_shot
deepseek_zero_shot,sonarqube,8710,0.8788748564867968,0.8973593570608496,-0.01848450057405282,425,630,469,7186,23.293903548680618,1.3904002173204502e-06,9.732801521243151e-06,True,0.05,sonarqube
chatgpt_zero_shot,sonarqube,8710,0.879678530424799,0.8973593570608496,-0.01768082663605053,410,638,484,7178,20.863636363636363,4.9316867067659765e-06,2.959012024059586e-05,True,0.05,sonarqube
deepseek_few_shot,deepseek_zero_shot,8710,0.8876004592422503,0.8788748564867968,0.008725602755453532,631,348,424,7307,7.286269430051814,0.006948361416187725,0.03474180708093862,True,0.05,deepseek_few_shot
deepseek_few_shot,sonarqube,8710,0.8876004592422503,0.8973593570608496,-0.009758897818599288,411,568,483,7248,6.71360608943863,0.009568004797934609,0.038272019191738435,True,0.05,sonarqube
chatgpt_zero_shot,deepseek_few_shot,8710,0.879678530424799,0.8876004592422503,-0.00792192881745124,612,436,367,7295,5.75840597758406,0.016409952717546413,0.049229858152639236,True,0.05,deepseek_few_shot
chatgpt_few_shot,claude_zero_shot,8710,0.8331802525832377,0.8329506314580941,0.00022962112514357536,942,511,513,6744,0.0009765625,0.9750701651312458,1.0,False,0.05,chatgpt_few_shot
chatgpt_zero_shot,deepseek_zero_shot,8710,0.879678530424799,0.8788748564867968,0.0008036739380022917,564,484,491,7171,0.036923076923076927,0.8476217458063825,1.0,False,0.05,chatgpt_zero_shot
