treatment,smell,n,acertos,erros,taxa_acerto,tp,tn,fp,fn,precision,recall,specificity,f1,mcc,kappa,positivos_gt,positivos_pred
chatgpt_few_shot,blob,2135.0,1742.0,393.0,0.8159250585480093,203.0,1539.0,309.0,84.0,0.396484375,0.7073170731707317,0.8327922077922078,0.5081351689612015,0.43149854084962824,0.4057587340303702,287.0,512.0
chatgpt_few_shot,data class,2139.0,1778.0,361.0,0.831229546517064,225.0,1553.0,275.0,86.0,0.45,0.7234726688102894,0.8495623632385121,0.5548705302096177,0.47728192131795594,0.45763624959525306,311.0,500.0
chatgpt_few_shot,feature envy,2213.0,1622.0,591.0,0.7329417080885675,52.0,1570.0,540.0,51.0,0.08783783783783784,0.5048543689320388,0.7440758293838863,0.14964028776978416,0.11846363764357735,0.07640795066390871,103.0,592.0
chatgpt_few_shot,long method,2224.0,2116.0,108.0,0.9514388489208633,180.0,1936.0,45.0,63.0,0.8,0.7407407407407407,0.9772841998990409,0.7692307692307693,0.7428262598559519,0.7421399447332315,243.0,225.0
chatgpt_zero_shot,blob,2135.0,1782.0,353.0,0.8346604215456674,190.0,1592.0,256.0,97.0,0.4260089686098655,0.662020905923345,0.8614718614718615,0.5184174624829468,0.4392586914601396,0.4242297840026097,287.0,446.0
chatgpt_zero_shot,data class,2139.0,1842.0,297.0,0.8611500701262272,216.0,1626.0,202.0,95.0,0.5167464114832536,0.6945337620578779,0.8894967177242888,0.5925925925925926,0.5191886946535508,0.5110706630699551,311.0,418.0
chatgpt_zero_shot,feature envy,2213.0,1942.0,271.0,0.877541798463624,30.0,1912.0,198.0,73.0,0.13157894736842105,0.2912621359223301,0.9061611374407583,0.18126888217522658,0.13680768983747554,0.12517522810651527,103.0,228.0
chatgpt_zero_shot,long method,2224.0,2097.0,127.0,0.9428956834532374,132.0,1965.0,16.0,111.0,0.8918918918918919,0.5432098765432098,0.9919232710752145,0.6751918158567775,0.6698270709290651,0.6459024943083234,243.0,148.0
claude_few_shot,blob,2135.0,1762.0,373.0,0.8252927400468384,213.0,1549.0,299.0,74.0,0.416015625,0.7421602787456446,0.8382034632034632,0.5331664580725908,0.463658219993175,0.4360000198303513,287.0,512.0
claude_few_shot,data class,2139.0,1750.0,389.0,0.8181393174380551,234.0,1516.0,312.0,77.0,0.42857142857142855,0.752411575562701,0.8293216630196937,0.5460910151691949,0.4703140574877116,0.4428758810614719,311.0,546.0
claude_few_shot,feature envy,2213.0,1454.0,759.0,0.6570266606416629,79.0,1375.0,735.0,24.0,0.09705159705159705,0.7669902912621359,0.6516587677725119,0.1723009814612868,0.18288955353480107,0.0977473051942993,103.0,814.0
claude_few_shot,long method,2224.0,2103.0,121.0,0.9455935251798561,165.0,1938.0,43.0,78.0,0.7932692307692307,0.6790123456790124,0.9782937910146391,0.7317073170731707,0.7042650396003397,0.7016373667311206,243.0,208.0
claude_zero_shot,blob,2135.0,1719.0,416.0,0.805152224824356,224.0,1495.0,353.0,63.0,0.3882149046793761,0.7804878048780488,0.808982683982684,0.5185185185185185,0.45277492374363965,0.4131522714448258,287.0,577.0
claude_zero_shot,data class,2139.0,1876.0,263.0,0.8770453482935952,225.0,1651.0,177.0,86.0,0.5597014925373134,0.7234726688102894,0.9031728665207878,0.6311360448807855,0.5654279912597917,0.5588006239691685,311.0,402.0
claude_zero_shot,feature envy,2212.0,1556.0,656.0,0.7034358047016275,84.0,1472.0,637.0,19.0,0.11650485436893204,0.8155339805825242,0.6979611190137506,0.20388349514563106,0.23082707670750782,0.13325472684244422,103.0,721.0
claude_zero_shot,long method,2224.0,2104.0,120.0,0.9460431654676259,175.0,1929.0,52.0,68.0,0.7709251101321586,0.720164609053498,0.9737506309944473,0.7446808510638298,0.7150721095478487,0.7145540227475459,243.0,227.0
deepseek_few_shot,blob,2135.0,1844.0,291.0,0.8637002341920375,165.0,1679.0,169.0,122.0,0.4940119760479042,0.5749128919860628,0.9085497835497836,0.5314009661835749,0.4539675321554937,0.45218711616682206,287.0,334.0
deepseek_few_shot,data class,2139.0,1839.0,300.0,0.8597475455820477,210.0,1629.0,199.0,101.0,0.5134474327628362,0.6752411575562701,0.8911378555798687,0.5833333333333334,0.5076807976210624,0.5008874667297201,311.0,409.0
deepseek_few_shot,feature envy,2213.0,1964.0,249.0,0.8874830546769091,26.0,1938.0,172.0,77.0,0.13131313131313133,0.2524271844660194,0.9184834123222749,0.17275747508305647,0.12614170890064982,0.11879902450725621,103.0,198.0
deepseek_few_shot,long method,2224.0,2085.0,139.0,0.9375,157.0,1928.0,53.0,86.0,0.7476190476190476,0.6460905349794238,0.9732458354366481,0.6931567328918322,0.6607430119609798,0.658568695798156,243.0,210.0
deepseek_zero_shot,blob,2135.0,1820.0,315.0,0.8524590163934426,174.0,1646.0,202.0,113.0,0.4627659574468085,0.6062717770034843,0.8906926406926406,0.5248868778280543,0.44503112310294174,0.4394134774160797,287.0,376.0
deepseek_zero_shot,data class,2139.0,1883.0,256.0,0.8803179055633473,131.0,1752.0,76.0,180.0,0.6328502415458938,0.4212218649517685,0.9584245076586433,0.5057915057915058,0.45264612950035354,0.4408117249154453,311.0,207.0
deepseek_zero_shot,feature envy,2213.0,1872.0,341.0,0.8459105286940805,45.0,1827.0,283.0,58.0,0.13719512195121952,0.4368932038834951,0.8658767772511848,0.2088167053364269,0.1795064485343416,0.14849560218226554,103.0,328.0
deepseek_zero_shot,long method,2224.0,2081.0,143.0,0.9357014388489209,184.0,1897.0,84.0,59.0,0.6865671641791045,0.757201646090535,0.9575971731448764,0.7201565557729941,0.6849791918020882,0.6839326744953369,243.0,268.0
sonarqube,blob,2135.0,1897.0,238.0,0.8885245901639345,76.0,1821.0,27.0,211.0,0.7378640776699029,0.26480836236933797,0.9853896103896104,0.38974358974358975,0.3982861954985029,0.34310070223702305,287.0,103.0
sonarqube,data class,2139.0,1845.0,294.0,0.8625525946704067,122.0,1723.0,105.0,189.0,0.5374449339207048,0.39228295819935693,0.9425601750547046,0.45353159851301117,0.3832241016115257,0.37710630475005635,311.0,227.0
sonarqube,feature envy,2213.0,2062.0,151.0,0.9317668323542703,19.0,2043.0,67.0,84.0,0.22093023255813954,0.18446601941747573,0.9682464454976303,0.20105820105820105,0.16645672914148615,0.16572086253342355,103.0,86.0
sonarqube,long method,2224.0,2013.0,211.0,0.9051258992805755,32.0,1981.0,0.0,211.0,1.0,0.13168724279835392,1.0,0.23272727272727273,0.344979918477981,0.2127077013931764,243.0,32.0
