treatment,type,n,acertos,erros,taxa_acerto,tp,tn,fp,fn,precision,recall,specificity,f1,mcc,kappa,positivos_gt,positivos_pred
chatgpt_few_shot,class,4274.0,3520.0,754.0,0.8235844642021526,428.0,3092.0,584.0,170.0,0.42292490118577075,0.7157190635451505,0.8411316648531012,0.5316770186335403,0.45440688271227964,0.43171989501282715,598.0,1012.0
chatgpt_few_shot,function,4437.0,3738.0,699.0,0.8424611223799865,232.0,3506.0,585.0,114.0,0.2839657282741738,0.6705202312138728,0.8570031777071621,0.3989681857265692,0.36494650752662616,0.3250157186268938,346.0,817.0
chatgpt_zero_shot,class,4274.0,3624.0,650.0,0.8479176415535797,406.0,3218.0,458.0,192.0,0.4699074074074074,0.6789297658862876,0.8754080522306855,0.5554035567715458,0.47882717573073286,0.46731159654275045,598.0,864.0
chatgpt_zero_shot,function,4437.0,4039.0,398.0,0.9102997520847419,162.0,3877.0,214.0,184.0,0.4308510638297872,0.4682080924855491,0.9476900513321926,0.4487534626038781,0.40043253270200946,0.4000228313449904,346.0,376.0
claude_few_shot,class,4274.0,3512.0,762.0,0.8217126813289658,447.0,3065.0,611.0,151.0,0.4224952741020794,0.7474916387959866,0.8337867247007617,0.5398550724637681,0.4672202390589564,0.43968043361269127,598.0,1058.0
claude_few_shot,function,4437.0,3557.0,880.0,0.8016677935542033,244.0,3313.0,778.0,102.0,0.23874755381604695,0.7052023121387283,0.8098264483011489,0.3567251461988304,0.32799216461438985,0.27188941467111427,346.0,1022.0
claude_zero_shot,class,4274.0,3595.0,679.0,0.841132428638278,449.0,3146.0,530.0,149.0,0.4586312563840654,0.7508361204013378,0.8558215451577802,0.569435637285986,0.5007984517771169,0.47891282324579376,598.0,979.0
claude_zero_shot,function,4436.0,3660.0,776.0,0.8250676284941388,259.0,3401.0,689.0,87.0,0.2732067510548523,0.7485549132947977,0.8315403422982885,0.40030911901081917,0.3794954822336246,0.32293032016251233,346.0,948.0
deepseek_few_shot,class,4274.0,3683.0,591.0,0.8617220402433318,375.0,3308.0,368.0,223.0,0.5047106325706595,0.6270903010033445,0.8998911860718172,0.5592841163310962,0.4823812697420989,0.4784151997829358,598.0,743.0
deepseek_few_shot,function,4437.0,4049.0,388.0,0.9125535271579897,183.0,3866.0,225.0,163.0,0.4485294117647059,0.5289017341040463,0.9450012221950623,0.4854111405835544,0.4397577397851979,0.43798075322167096,346.0,408.0
deepseek_zero_shot,class,4274.0,3703.0,571.0,0.8664014974262986,305.0,3398.0,278.0,293.0,0.5231560891938251,0.5100334448160535,0.9243743199129488,0.5165114309906859,0.4390658127948342,0.43901813335368434,598.0,583.0
deepseek_zero_shot,function,4437.0,3953.0,484.0,0.8909172864548118,229.0,3724.0,367.0,117.0,0.38422818791946306,0.661849710982659,0.910290882424835,0.4861995753715499,0.4498940689124575,0.42994917740446403,346.0,596.0
sonarqube,class,4274.0,3742.0,532.0,0.8755264389330838,198.0,3544.0,132.0,400.0,0.6,0.3311036789297659,0.9640914036996736,0.4267241379310345,0.3836383716780233,0.36337409200155,598.0,330.0
sonarqube,function,4437.0,4075.0,362.0,0.9184133423484336,51.0,4024.0,67.0,295.0,0.4322033898305085,0.14739884393063585,0.9836225861647518,0.21982758620689655,0.21835468719185247,0.18760596263641116,346.0,118.0
